nome;altura;peso;cor_cabelo;cor_pelo;cor_olho;ano_nascimento;genero;url_homeworld;url_films;url_especies;url_vehicles;url_starships;data_criacao;data_edicao;url_origem;load_date
wilhuff tarkin;180.0;84.0;auburn, grey;fair;blue;64bby;male;https://swapi.dev/api/planets/21/;['https://swapi.dev/api/films/1/', 'https://swapi.dev/api/films/6/'];[];[];[];2014-12-10 16:26:56.138000+00:00;2014-12-20 21:17:50.330000+00:00;https://swapi.dev/api/people/12/;2023-10-20
chewbacca;228.0;112.0;brown;fair;blue;200bby;male;https://swapi.dev/api/planets/14/;['https://swapi.dev/api/films/1/', 'https://swapi.dev/api/films/2/', 'https://swapi.dev/api/films/3/', 'https://swapi.dev/api/films/6/'];['https://swapi.dev/api/species/3/'];['https://swapi.dev/api/vehicles/19/'];['https://swapi.dev/api/starships/10/', 'https://swapi.dev/api/starships/22/'];2014-12-10 16:42:45.066000+00:00;2014-12-20 21:17:50.332000+00:00;https://swapi.dev/api/people/13/;2023-10-20
han solo;180.0;80.0;brown;fair;brown;29bby;male;https://swapi.dev/api/planets/22/;['https://swapi.dev/api/films/1/', 'https://swapi.dev/api/films/2/', 'https://swapi.dev/api/films/3/'];[];[];['https://swapi.dev/api/starships/10/', 'https://swapi.dev/api/starships/22/'];2014-12-10 16:49:14.582000+00:00;2014-12-20 21:17:50.334000+00:00;https://swapi.dev/api/people/14/;2023-10-20
greedo;173.0;74.0;brown;green;black;44bby;male;https://swapi.dev/api/planets/23/;['https://swapi.dev/api/films/1/'];['https://swapi.dev/api/species/4/'];[];[];2014-12-10 17:03:30.334000+00:00;2014-12-20 21:17:50.336000+00:00;https://swapi.dev/api/people/15/;2023-10-20
jabba desilijic tiure;175.0;1.358;brown;green-tan, brown;orange;600bby;hermaphrodite;https://swapi.dev/api/planets/24/;['https://swapi.dev/api/films/1/', 'https://swapi.dev/api/films/3/', 'https://swapi.dev/api/films/4/'];['https://swapi.dev/api/species/5/'];[];[];2014-12-10 17:11:31.638000+00:00;2014-12-20 21:17:50.338000+00:00;https://swapi.dev/api/people/16/;2023-10-20
wedge antilles;170.0;77.0;brown;fair;hazel;21bby;male;https://swapi.dev/api/planets/22/;['https://swapi.dev/api/films/1/', 'https://swapi.dev/api/films/2/', 'https://swapi.dev/api/films/3/'];[];['https://swapi.dev/api/vehicles/14/'];['https://swapi.dev/api/starships/12/'];2014-12-12 11:08:06.469000+00:00;2014-12-20 21:17:50.341000+00:00;https://swapi.dev/api/people/18/;2023-10-20
jek tono porkins;180.0;110.0;brown;fair;blue;21bby;male;https://swapi.dev/api/planets/26/;['https://swapi.dev/api/films/1/'];[];[];['https://swapi.dev/api/starships/12/'];2014-12-12 11:16:56.569000+00:00;2014-12-20 21:17:50.343000+00:00;https://swapi.dev/api/people/19/;2023-10-20
yoda;66.0;17.0;white;green;brown;896bby;male;https://swapi.dev/api/planets/28/;['https://swapi.dev/api/films/2/', 'https://swapi.dev/api/films/3/', 'https://swapi.dev/api/films/4/', 'https://swapi.dev/api/films/5/', 'https://swapi.dev/api/films/6/'];['https://swapi.dev/api/species/6/'];[];[];2014-12-15 12:26:01.042000+00:00;2014-12-20 21:17:50.345000+00:00;https://swapi.dev/api/people/20/;2023-10-20
palpatine;170.0;75.0;grey;pale;yellow;82bby;male;https://swapi.dev/api/planets/8/;['https://swapi.dev/api/films/2/', 'https://swapi.dev/api/films/3/', 'https://swapi.dev/api/films/4/', 'https://swapi.dev/api/films/5/', 'https://swapi.dev/api/films/6/'];[];[];[];2014-12-15 12:48:05.971000+00:00;2014-12-20 21:17:50.347000+00:00;https://swapi.dev/api/people/21/;2023-10-20
boba fett;183.0;78.2;black;fair;brown;31.5bby;male;https://swapi.dev/api/planets/10/;['https://swapi.dev/api/films/2/', 'https://swapi.dev/api/films/3/', 'https://swapi.dev/api/films/5/'];[];[];['https://swapi.dev/api/starships/21/'];2014-12-15 12:49:32.457000+00:00;2014-12-20 21:17:50.349000+00:00;https://swapi.dev/api/people/22/;2023-10-20
ig-88;200.0;140.0;none;metal;red;15bby;none;https://swapi.dev/api/planets/28/;['https://swapi.dev/api/films/2/'];['https://swapi.dev/api/species/2/'];[];[];2014-12-15 12:51:10.076000+00:00;2014-12-20 21:17:50.351000+00:00;https://swapi.dev/api/people/23/;2023-10-20
bossk;190.0;113.0;none;green;red;53bby;male;https://swapi.dev/api/planets/29/;['https://swapi.dev/api/films/2/'];['https://swapi.dev/api/species/7/'];[];[];2014-12-15 12:53:49.297000+00:00;2014-12-20 21:17:50.355000+00:00;https://swapi.dev/api/people/24/;2023-10-20
lando calrissian;177.0;79.0;black;dark;brown;31bby;male;https://swapi.dev/api/planets/30/;['https://swapi.dev/api/films/2/', 'https://swapi.dev/api/films/3/'];[];[];['https://swapi.dev/api/starships/10/'];2014-12-15 12:56:32.683000+00:00;2014-12-20 21:17:50.357000+00:00;https://swapi.dev/api/people/25/;2023-10-20
lobot;175.0;79.0;none;light;blue;37bby;male;https://swapi.dev/api/planets/6/;['https://swapi.dev/api/films/2/'];[];[];[];2014-12-15 13:01:57.178000+00:00;2014-12-20 21:17:50.359000+00:00;https://swapi.dev/api/people/26/;2023-10-20
ackbar;180.0;83.0;none;brown mottle;orange;41bby;male;https://swapi.dev/api/planets/31/;['https://swapi.dev/api/films/3/'];['https://swapi.dev/api/species/8/'];[];[];2014-12-18 11:07:50.584000+00:00;2014-12-20 21:17:50.362000+00:00;https://swapi.dev/api/people/27/;2023-10-20
mon mothma;150.0;83.0;auburn;fair;blue;48bby;female;https://swapi.dev/api/planets/32/;['https://swapi.dev/api/films/3/'];[];[];[];2014-12-18 11:12:38.895000+00:00;2014-12-20 21:17:50.364000+00:00;https://swapi.dev/api/people/28/;2023-10-20
arvel crynyd;150.0;83.0;brown;fair;brown;48bby;male;https://swapi.dev/api/planets/28/;['https://swapi.dev/api/films/3/'];[];[];['https://swapi.dev/api/starships/28/'];2014-12-18 11:16:33.020000+00:00;2014-12-20 21:17:50.367000+00:00;https://swapi.dev/api/people/29/;2023-10-20
wicket systri warrick;88.0;20.0;brown;brown;brown;8bby;male;https://swapi.dev/api/planets/7/;['https://swapi.dev/api/films/3/'];['https://swapi.dev/api/species/9/'];[];[];2014-12-18 11:21:58.954000+00:00;2014-12-20 21:17:50.369000+00:00;https://swapi.dev/api/people/30/;2023-10-20
nien nunb;160.0;68.0;none;grey;black;8bby;male;https://swapi.dev/api/planets/33/;['https://swapi.dev/api/films/3/'];['https://swapi.dev/api/species/10/'];[];['https://swapi.dev/api/starships/10/'];2014-12-18 11:26:18.541000+00:00;2014-12-20 21:17:50.371000+00:00;https://swapi.dev/api/people/31/;2023-10-20
qui-gon jinn;193.0;89.0;brown;fair;blue;92bby;male;https://swapi.dev/api/planets/28/;['https://swapi.dev/api/films/4/'];[];['https://swapi.dev/api/vehicles/38/'];[];2014-12-19 16:54:53.618000+00:00;2014-12-20 21:17:50.375000+00:00;https://swapi.dev/api/people/32/;2023-10-20
nute gunray;191.0;90.0;none;mottled green;red;92bby;male;https://swapi.dev/api/planets/18/;['https://swapi.dev/api/films/4/', 'https://swapi.dev/api/films/5/', 'https://swapi.dev/api/films/6/'];['https://swapi.dev/api/species/11/'];[];[];2014-12-19 17:05:57.357000+00:00;2014-12-20 21:17:50.377000+00:00;https://swapi.dev/api/people/33/;2023-10-20
finis valorum;170.0;90.0;blond;fair;blue;91bby;male;https://swapi.dev/api/planets/9/;['https://swapi.dev/api/films/4/'];[];[];[];2014-12-19 17:21:45.915000+00:00;2014-12-20 21:17:50.379000+00:00;https://swapi.dev/api/people/34/;2023-10-20
padm amidala;185.0;45.0;brown;light;brown;46bby;female;https://swapi.dev/api/planets/8/;['https://swapi.dev/api/films/4/', 'https://swapi.dev/api/films/5/', 'https://swapi.dev/api/films/6/'];[];[];['https://swapi.dev/api/starships/39/', 'https://swapi.dev/api/starships/49/', 'https://swapi.dev/api/starships/64/'];2014-12-19 17:28:26.926000+00:00;2014-12-20 21:17:50.381000+00:00;https://swapi.dev/api/people/35/;2023-10-20
jar jar binks;196.0;66.0;none;orange;orange;52bby;male;https://swapi.dev/api/planets/8/;['https://swapi.dev/api/films/4/', 'https://swapi.dev/api/films/5/'];['https://swapi.dev/api/species/12/'];[];[];2014-12-19 17:29:32.489000+00:00;2014-12-20 21:17:50.383000+00:00;https://swapi.dev/api/people/36/;2023-10-20
roos tarpals;224.0;82.0;none;grey;orange;52bby;male;https://swapi.dev/api/planets/8/;['https://swapi.dev/api/films/4/'];['https://swapi.dev/api/species/12/'];[];[];2014-12-19 17:32:56.741000+00:00;2014-12-20 21:17:50.385000+00:00;https://swapi.dev/api/people/37/;2023-10-20
rugor nass;206.0;82.0;none;green;orange;52bby;male;https://swapi.dev/api/planets/8/;['https://swapi.dev/api/films/4/'];['https://swapi.dev/api/species/12/'];[];[];2014-12-19 17:33:38.909000+00:00;2014-12-20 21:17:50.388000+00:00;https://swapi.dev/api/people/38/;2023-10-20
ric oli;183.0;82.0;brown;fair;blue;52bby;male;https://swapi.dev/api/planets/8/;['https://swapi.dev/api/films/4/'];[];[];['https://swapi.dev/api/starships/40/'];2014-12-19 17:45:01.522000+00:00;2014-12-20 21:17:50.392000+00:00;https://swapi.dev/api/people/39/;2023-10-20
watto;137.0;82.0;black;blue, grey;yellow;52bby;male;https://swapi.dev/api/planets/34/;['https://swapi.dev/api/films/4/', 'https://swapi.dev/api/films/5/'];['https://swapi.dev/api/species/13/'];[];[];2014-12-19 17:48:54.647000+00:00;2014-12-20 21:17:50.395000+00:00;https://swapi.dev/api/people/40/;2023-10-20
sebulba;112.0;40.0;none;grey, red;orange;52bby;male;https://swapi.dev/api/planets/35/;['https://swapi.dev/api/films/4/'];['https://swapi.dev/api/species/14/'];[];[];2014-12-19 17:53:02.586000+00:00;2014-12-20 21:17:50.397000+00:00;https://swapi.dev/api/people/41/;2023-10-20
